X.1;X.2;COLOR
47.0961;8.2019;1
47.1794121;8.0333364;1
47.1070581;7.3961966;1
47.1217731;7.6467749;1
47.3969708;7.771386;1
47.0093605;7.3990168;1
47.1225565;8.204645;1
46.8038004;7.5747454;1
46.8900425;7.5915911;0
47.2413146;7.6272128;0
47.1951268;9.0551882;0
47.0672;8.1984;0
46.8029692;7.5343486;0
47.2330647;7.4872972;0
46.7773648;7.5427545;0
46.9349931;7.3669349;0
47.7174684;8.5155408;0
47.1027917;7.362481;0
47.0432263;7.5446404;0
46.971949;7.3911088;0
47.0636881;7.4813524;0
47.0932892;7.8151252;0
47.234619;7.7594943;0
47.2223488;7.4768817;0
47.5073541;9.2745487;0
47.0640635;7.4741807;0
47.1004218;7.4783117;0
46.8368162;7.3994952;0
47.0943679;7.984142;1
47.0619899;7.5364494;0
47.1534522;8.0366274;0
46.8585363;7.3640641;0
47.1021642;7.9903422;1
47.1833799;8.0123615;0
47.1262902;7.9616061;0
47.2202242;7.9360761;0
47.1146;8.0966;0
47.1357865;7.7856745;0
47.0543332;8.2347885;1
47.107917;7.9996499;0
46.9011818;7.5980772;0
47.5000157;8.9457478;0
47.5078635;8.9442185;0
46.9903;7.2684;0
47.0743;7.8208;0
47.1210312;7.8116411;0
46.8582606;7.2796997;1
47.0254731;7.3270483;0
47.6211244;9.0805567;0
47.2274385;9.4610944;0
47.2733;8.3386;0
46.781018;6.8378487;0
46.8636225;7.3489348;0
47.5083241;9.1203957;0
47.1346254;7.7160109;0
46.7679344;7.115153;0
47.1072729;7.6104229;0
47.154;7.7705;0
47.1058782;7.7830899;0
46.67453775;6.769346269;0
47.6299157;9.0315342;0
47.1269;8.4002;1
46.7392001;7.0335566;0
46.7495426;7.1415027;0
47.4526;7.1491;0
47.3619367;7.0679136;0
47.3201686;7.0397565;0
47.3285;7.0694;0
47.5359259;9.2906188;0
47.6920295;8.8311649;0
47.5560429;9.326223;0
47.2038173;8.0131588;0
47.1558231;8.252153;0
46.9453458;7.6292917;0
47.158955;7.3756948;0
47.1761594;7.9480089;1
47.2195713;7.7532227;0
47.2515962;7.8512858;1
46.8735;7.2774;0
47.2113362;8.1459453;1
47.2096954;7.9730123;0
47.250927;8.4533033;0
47.18521198;8.332905869;0
47.2887653;8.2989442;0
47.1333024;7.4525688;0
46.6792735;6.6602065;0
46.9171831;7.2800204;0
46.7002324;6.9682817;0
47.2248449;8.3019093;0
47.1950713;7.6706248;0
47.4090675;7.8066248;0
47.4848442;8.0223548;0
46.7211986;7.0038865;1
47.2252147;8.1959703;1
47.5059856;7.9757755;0
47.0799711;7.388892443;0
47.0667523;8.1721061;0
47.2161481;8.1317898;0
47.4464996;8.6804443;0
47.070775;7.3727295;0
47.1845203;8.3762525;0
47.1875473;8.3617607;0
47.0734085;7.5412529;1
47.3106157;7.6161454;0
47.0915;8.0603;0
47.5531164;9.2024947;0
47.5941237;9.2807956;0
47.4158312;9.2216316;0
46.8441;6.9043;1
46.8340268;6.8457361;0
47.1163324;8.061778;0
47.0927893;7.4479964;1
47.1239123;7.7901435;0
47.0414159;7.475152;0
47.1261009;7.6529971;0
47.2138;8.095;0
47.513255;9.1860276;1
47.1969933;7.6592899;1
47.0124321;7.4378918;1
47.31167541;8.443304644;1
47.4910388;9.1456087;0
46.9725815;7.5384217;0
46.9292653;7.8110988;0
47.5506202;9.3479716;1
47.5512113;9.2884123;0
