Variable in df3_pls;Class;Level 1;Level 2;Level 3;Level 4;Level 5;Level 6
farrowing_piglet_litters_sneezing;factor;0;1;;;;
farrowing_piglet_litters_coughing;factor;0;1;;;;
farrowing_room_temperature;factor;<17°C; 17–20°C; 20–23°C; 23–26°C; >26°C; NA
farrowing_airflow;factor;<0.1; 0.1–<0.2; 0.2–<0.4; >=0.4; NA;
ai_sows_room_temperature;factor;<15; 15–<18; 18–<21; 21–<24; >=24; NA
ai_sows_airflow;factor;<0.1; 0.1–<0.2; 0.2–<0.4; >=0.4; NA;
gilts_qm_per_animal;factor;<2.5; 2.5–<3.5; 3.5–<4.5; 4.5–<6.0; >=6.0; NA
gitls_animals_per_water_source;factor;<4; 4–<8; 8–<12; 12–<16; >=16; NA
gilts_room_temperature;factor;<13; 13–<17; 17–<21; 21–<25; >=25; NA
gilts_airflow;factor;<0.1; 0.1–<0.2; 0.2–<0.4; >=0.4; NA;
rectal_temperature_max;;<40.0; 40.0–<40.5; 40.5–<41.0; >=41.0; NA;
rectal_temperature_avg;;<40.0; 40.0–<40.5; 40.5–<41.0; >=41.0; NA;
weaners_sneezing;factor;0; 0–<3; 3–<10; 10–<20; 20+; NA
weaners_coughing;factor;0; 0–<2; 2–<5; 5+; NA;
weaners_qm_per_animal;factor;<0.3; 0.3–<0.4; 0.4–<0.6; 0.6–<1.0; >=1.0; NA
weaners_animals_per_water_source;factor;<10; 10–<15; 15–<25; 25–<40; >=40; NA
weaners_room_temperature;factor;<15; 15–<18; 18–<21; 21–<25; >=25; NA
weaners_airflow;factor;<0.1; 0.1–<0.2; 0.2–<0.4; >=0.4; NA;
fatteners_sneezing;factor;0; 0–<2; 2–<5; 5+; NA;
fatteners_coughing;factor;0; 0–<2; 2–<5; 5+; NA;
fatteners_qm_per_animal;factor;<0.5; 0.5–<1.0; 1.0–<1.5; >=1.5; NA;
fatteners_animals_per_water_source;factor;<10; 10–<15; >=15; NA;;
fatteners_room_temperature;factor;10; 10–<15; 15–<20; 20–<25; >=25; NA
fatteners_airflow;factor;<0.1; 0.1–<0.2; 0.2–<0.4; >=0.4; NA;
