"SourceVariable","DummyColumn","Reason"
"production_type_factor","production_type_factor_5","lowest SIV risk in nucleus/multiplier herds"
"source_of_contact_grouped","source_of_contact_grouped_Other Private Practices","reference for additonal contact sources"
"quarantaine_time","quarantaine_time_20","longest quarantaine"
"litter_equalization_farrowing_stable","litter_equalization_farrowing_stable_1","never done as lowest risk for SIV due to best lactogen immunity"
"cleaning_ai_centre","cleaning_ai_centre_3","always clean after emptying, best practice for AIAO"
"cleaning_fattener_stable","cleaning_fattener_stable_3","always clean after emptying, best practice for AIAO"
"cleaning_quarantaine","cleaning_quarantaine_3","always clean after emptying, best practice"
"desinfection_farrowing_stable","desinfection_farrowing_stable_3","always desinfect after emptying, best practice for AIAO"
"desinfection_weaner_stable","desinfection_weaner_stable_3","always desinfect after emptying, best practice for AIAO"
"drying_ai_centre","drying_ai_centre_3","always let dry after emptying, best practice for AIAO"
"drying_fattener_stable","drying_fattener_stable_3","always let dry after emptying, best practice for AIAO"
"caretaker_type","caretaker_type_1","least risk for biosecurity because fewest people"
"respiratory_history_swine","respiratory_history_swine_1","least risk because no recent history of SIV outbreaks"
"frequency_respi_outbreak","frequency_respi_outbreak_never","least risk because no recent history of SIV outbreaks"
"Age_weeks_factor","Age_weeks_factor_5-8w","most common age category"
"seperation_between_production_units","seperation_between_production_units_1","lowest risk for transmission by using seperate buildings"
"seperation_within_production_units","seperation_within_production_units_1","lowest risk for transmission by using seperate buildings"
"seperation_quarantaine_area","seperation_quarantaine_area_1","lowest risk for transmission by using seperate buildings"
"farrowing_airflow","farrowing_airflow_<0.1","best practice to minimize any airflow"
"farrowing_air_quality","farrowing_air_quality_1","best air quality"
"farrowing_airspace_with_other_agegroup","farrowing_airspace_with_other_agegroup_1","lowest risk for transmission by using seperate buildings"
"ai_sows_room_temperature","ai_sows_room_temperature_15–<18","best practice temperature"
"ai_sows_airflow","ai_sows_airflow_<0.1","best practice to minimize any airflow"
"ai_sows_air_quality","ai_sows_air_quality_1","best air quality"
"ai_airspace_with_other_agegroup","ai_airspace_with_other_agegroup_1","lowest risk for transmission by using seperate buildings"
"gilts_qm_per_animal","gilts_qm_per_animal_>=6.0","lowest stocking density leading to lowest risk of transmission"
"gitls_animals_per_water_source","gitls_animals_per_water_source_<4","lowest stocking density leading to lowest risk of transmission"
"gilts_room_temperature","gilts_room_temperature_13–<17","best practice temperature"
"gilts_airflow","gilts_airflow_<0.1","best practice to minimize any airflow"
"gilts_air_quality","gilts_air_quality_1","best air quality"
"gilts_airspace_with_other_agegroup","gilts_airspace_with_other_agegroup_1","lowest risk for transmission by using seperate buildings"
"weaners_sneezing","weaners_sneezing_0–<3","lowest prevalence leading to lowest SIV risk"
"weaners_coughing","weaners_coughing_0–<2","lowest prevalence leading to lowest SIV risk"
"weaners_qm_per_animal","weaners_qm_per_animal_>=1.0","lowest stocking density leading to lowest risk of transmission"
"weaners_animals_per_feeding_site_factor","weaners_animals_per_feeding_site_factor_<20","lowest stocking density leading to lowest risk of transmission"
"weaners_animals_per_water_source","weaners_animals_per_water_source_<10","lowest stocking density leading to lowest risk of transmission"
"weaners_room_temperature","weaners_room_temperature_>=25","best practice temperature"
"weaners_airflow","weaners_airflow_<0.1","best practice to minimize any airflow"
"weaners_air_quality","weaners_air_quality_1","best air quality"
"weaners_airspace_with_other_agegroup","weaners_airspace_with_other_agegroup_2","lowest risk for transmission by using seperate buildings"
"fatteners_sneezing","fatteners_sneezing_0–<2","lowest prevalence leading to lowest SIV risk"
"fatteners_coughing","fatteners_coughing_0–<2","lowest prevalence leading to lowest SIV risk"
"fatteners_qm_per_animal","fatteners_qm_per_animal_>=1.5","lowest stocking density leading to lowest risk of transmission"
"fatteners_feeding_site_per_animal_factor","fatteners_feeding_site_per_animal_factor_over 25cm trough/animal","lowest stocking density leading to lowest risk of transmission"
"fatteners_animals_per_water_source","fatteners_animals_per_water_source_<10","lowest stocking density leading to lowest risk of transmission"
