Variable;N;NA%;Test;p-value (association);FDR p-value (association);Correlation;Test (correlation)
respiratory_history_swine;100;20;Chi-squared;0.0003;0.02;0.4;Cramér's V
farrowing_piglet_litters_sneezing_percentage;94;24.8;Wilcoxon Mann-Whitney;0.02;0.45;-0.25;Spearman
symptom_swine_nasal_discharge;125;0;Chi-squared;0.04;0.52;0.21;Spearman
fattening_pigs_coughing;29;76.8;Wilcoxon Mann-Whitney;0.04;0.52;0.39;Spearman
Age_weeks_factor;125;0;Fisher's exact;0.06;0.66;0.29;Cramér's V
piglets_per_sow_year;88;29.6;Fisher's exact;0.08;0.66;0.2;Spearman
symptomatic_report;125;0;Chi-squared;0.09;0.66;0.17;Spearman
weaners_diseased;125;0;Chi-squared;0.11;0.66;0.16;Spearman
ili_signs;125;0;Chi-squared;0.13;0.66;0.15;Spearman
rectal_temperature_avg;122;2.4;Wilcoxon Mann-Whitney;0.15;0.66;0.13;Spearman
fattening_pigs_sneezing;29;76.8;Wilcoxon Mann-Whitney;0.17;0.66;0.26;Spearman
start_time_current_outbreak;29;76.8;Wilcoxon Mann-Whitney;0.18;0.66;-0.26;Spearman
symptom_swine_dyspnoea;125;0;Chi-squared;0.18;0.66;-0.14;Spearman
farrowing_rate;86;31.2;Chi-squared;0.19;0.66;0.17;Spearman
symptom_swine_fever;125;0;Chi-squared;0.19;0.66;0.14;Spearman
symptom_swine_coughing;125;0;Chi-squared;0.23;0.7;0.13;Spearman
time_respiratory_disease;70;44;Fisher's exact;0.26;0.7;-0.15;Spearman
Farrowing_on_farm;125;0;Chi-squared;0.27;0.7;-0.12;Spearman
Isemination_on_farm;125;0;Chi-squared;0.28;0.7;-0.11;Spearman
Gestation_on_farm;125;0;Chi-squared;0.28;0.7;-0.11;Spearman
Weaners_on_farm;125;0;Chi-squared;0.3;0.7;-0.11;Spearman
return_to_service_rate;71;43.2;Chi-squared;0.31;0.7;0.16;Spearman
symptom_swine_feed_intake_red;125;0;Chi-squared;0.31;0.7;0.11;Spearman
outbreak_since_examination;125;0;Fisher's exact;0.34;0.72;0.1;Spearman
farrowing_sows_coughing;94;24.8;Fisher's exact;0.37;0.76;0.13;Spearman
