Variable;N;NA%;Test;p-value (association);FDR p-value (association);Correlation;Test (correlation)
gestation_sows_room_temperature;64;48.8;t-test;0.02;0.46;-0.26;Spearman
ai_sows_room_temperature;48;61.6;t-test;0.03;0.46;-0.26;Spearman
season_sampling;125;0;Chi-squared;0.08;0.63;0.23;Cramér's V
fattening_pigs_qm_per_animal;63;49.6;t-test;0.15;0.63;0.21;Spearman
weaners_airflow;84;32.8;Wilcoxon Mann-Whitney;0.17;0.63;-0.15;Spearman
fattening_pigs_airflow;52;58.4;Wilcoxon Mann-Whitney;0.25;0.63;-0.16;Spearman
Farrowing_on_farm;125;0;Chi-squared;0.27;0.63;-0.12;Spearman
Isemination_on_farm;125;0;Chi-squared;0.28;0.63;-0.11;Spearman
Gestation_on_farm;125;0;Chi-squared;0.28;0.63;-0.11;Spearman
Weaners_on_farm;125;0;Chi-squared;0.3;0.63;-0.11;Spearman
farrowing_room_temperature;78;37.6;t-test;0.3;0.63;-0.12;Spearman
gestation_sows_airflow;62;50.4;Wilcoxon Mann-Whitney;0.3;0.63;-0.13;Spearman
weaners_room_temperature;87;30.4;t-test;0.33;0.63;-0.09;Spearman
weaners_animals_per_feeding_site_factor;104;16.8;Fisher's exact;0.34;0.63;0.21;Cramér's V
fattening_pigs_animals_per_water_source;65;48;t-test;0.34;0.63;0.18;Spearman
weaners_qm_per_animal;104;16.8;Wilcoxon Mann-Whitney;0.35;0.63;0.09;Spearman
Fattening_on_farm;125;0;Chi-squared;0.39;0.67;0.09;Spearman
farrowing_airflow;74;40.8;Wilcoxon Mann-Whitney;0.43;0.69;-0.09;Spearman
ai_sows_airflow;46;63.2;Wilcoxon Mann-Whitney;0.47;0.69;-0.11;Spearman
weaners_animals_per_water_source;104;16.8;Wilcoxon Mann-Whitney;0.52;0.69;-0.06;Spearman
fattening_pigs_room_temperature;55;56;t-test;0.52;0.69;-0.11;Spearman
gestation_sows_air_quality;77;38.4;Fisher's exact;0.53;0.69;0.13;Cramér's V
farrowing_nest_temperature_ok;87;30.4;Chi-squared;0.55;0.69;0.1;Spearman
ai_sows_air_quality;62;50.4;Fisher's exact;0.57;0.69;0.15;Cramér's V
gestation_sows_qm_per_animal;78;37.6;Wilcoxon Mann-Whitney;0.71;0.83;-0.04;Spearman
