Variable;N;NA%;Test;p-value (association);FDR p-value (association);Correlation;Test (correlation)
respiratory_history_human;125;0;Chi-squared;0.04;0.32;0.21;Spearman
physician_consultation;125;0;Fisher's exact;0.06;0.32;0.2;Spearman
symptom_human_coughing;125;0;Chi-squared;0.07;0.32;0.18;Spearman
season_sampling;125;0;Chi-squared;0.08;0.32;0.23;Cramér's V
starting_point_current_disease;16;87.2;Wilcoxon Mann-Whitney;0.15;0.37;0.38;Spearman
symptom_human_brobchitis;125;0;Fisher's exact;0.15;0.37;0.16;Spearman
symptom_human_pneumonia;125;0;Fisher's exact;0.15;0.37;0.16;Spearman
flu_vaccination;125;0;Fisher's exact;0.24;0.52;-0.12;Spearman
respiratory_history_contact_person;125;0;Chi-squared;0.4;0.69;0.1;Spearman
symptom_human_sneezing;125;0;Chi-squared;0.41;0.69;0.1;Spearman
flu_vaccination_contacts;125;0;Chi-squared;0.56;0.86;0.08;Spearman
symptom_human_myalgia;125;0;Fisher's exact;0.65;0.92;-0.08;Spearman
symptom_human_fever;125;0;Fisher's exact;0.71;0.93;0.06;Spearman
chronic_disease_condition;125;0;Chi-squared;0.87;1;-0.04;Spearman
smoker;125;0;Chi-squared;0.94;1;0.02;Spearman
symptom_human_headache;125;0;Fisher's exact;1;1;0.02;Spearman
symptom_severity;20;84;Fisher's exact;1;1;-0.06;Spearman
