"Predictor","Reason","DuplicateOf","AliasedWith"
"average_daily_weight_gain_fattening_pigs","Near-zero or zero variance",NA,NA
"ai_sows_rectal_temperature","Near-zero or zero variance",NA,NA
"rectal_temperature_max_NA","Near-zero or zero variance",NA,NA
"rectal_temperature_avg_NA","Near-zero or zero variance",NA,NA
"rectal_temperature_avg_>=41.0","Near-zero or zero variance",NA,NA
"rectal_temperature_avg_40.5–<41.0","Near-zero or zero variance",NA,NA
"source_of_contact_grouped_Vetteam Willisau","Near-zero or zero variance",NA,NA
"source_of_contact_grouped_Tezet MÃ¼llheim","Near-zero or zero variance",NA,NA
"turkey_closeby_TRUE","Near-zero or zero variance",NA,NA
"quarantine_time_5","Near-zero or zero variance",NA,NA
"quarantine_time_2","Near-zero or zero variance",NA,NA
"herds_of_origin_respiratory_symptoms_TRUE","Near-zero or zero variance",NA,NA
"herds_of_origin_influenza_diagnosis_TRUE","Near-zero or zero variance",NA,NA
"disinfection_quarantine_TRUE","Near-zero or zero variance",NA,NA
"cleaning_shipment_area_NA","Near-zero or zero variance",NA,NA
"caretaker_ppe_washing_interval_NA","Near-zero or zero variance",NA,NA
"caretaker_disease_management_NA","Near-zero or zero variance",NA,NA
"visitors_list_TRUE","Near-zero or zero variance",NA,NA
"visitors_disease_management_TRUE","Near-zero or zero variance",NA,NA
"visitors_respiratory_symptoms_TRUE","Near-zero or zero variance",NA,NA
"young_sows_diseased_TRUE","Near-zero or zero variance",NA,NA
"old_sows_diseased_TRUE","Near-zero or zero variance",NA,NA
"boars_diseased_TRUE","Near-zero or zero variance",NA,NA
"report_killed_suckling_piglets_TRUE","Near-zero or zero variance",NA,NA
"report_killed_weaners_TRUE","Near-zero or zero variance",NA,NA
"report_killed_fattening_pigs_TRUE","Near-zero or zero variance",NA,NA
"report_killed_young_sows_TRUE","Near-zero or zero variance",NA,NA
"report_killed_old_sows_TRUE","Near-zero or zero variance",NA,NA
"influenza_diagnosis_TRUE","Near-zero or zero variance",NA,NA
"influenza_vaccination_TRUE","Near-zero or zero variance",NA,NA
"symptom_human_brobchitis_TRUE","Near-zero or zero variance",NA,NA
"symptom_human_pneumonia_TRUE","Near-zero or zero variance",NA,NA
"symptom_human_myalgia_TRUE","Near-zero or zero variance",NA,NA
"symptom_severity_TRUE","Near-zero or zero variance",NA,NA
"physician_consultation_TRUE","Near-zero or zero variance",NA,NA
"Age_weeks_factor_0-4w","Near-zero or zero variance",NA,NA
"Age_weeks_factor_mixed_ages>10w","Near-zero or zero variance",NA,NA
"seperation_quarantine_area_NA","Near-zero or zero variance",NA,NA
"farrowing_sows_coughing_TRUE","Near-zero or zero variance",NA,NA
"farrowing_piglets_reduced_general_wellbeing_TRUE","Near-zero or zero variance",NA,NA
"farrowing_room_temperature_23–26","Near-zero or zero variance",NA,NA
"farrowing_room_temperature_>26","Near-zero or zero variance",NA,NA
"ai_sows_room_temperature_21–<24","Near-zero or zero variance",NA,NA
"gestation_sows_air_quality_3","Near-zero or zero variance",NA,NA
"weaners_reduced_general_wellbeing_TRUE","Near-zero or zero variance",NA,NA
"weaners_discharge_TRUE","Near-zero or zero variance",NA,NA
"weaners_animals_per_water_source_>=40","Near-zero or zero variance",NA,NA
"fattening_pigs_sneezing_2–<5","Near-zero or zero variance",NA,NA
"fattening_pigs_sneezing_5+","Near-zero or zero variance",NA,NA
